起点,终点,里程,线路
一面坡,牡丹江,136.2,滨绥铁路（连入京哈线，连接：哈尔滨）
一面坡,玉泉,75.7,滨绥铁路（连入京哈线，连接：哈尔滨）
上海,嘉兴,86.2,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
上海,苏州,84.9,京沪线（连接：北京、天津、济南、南京、上海）
上饶,衢州,103.3,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
上饶,鹰潭,90.3,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
东莞东,常平,36.3,京九线（连接：北京、南昌）
东莞东,深圳,62.1,京九线（连接：北京、南昌）
丹江,汉口,339.7,汉丹铁路（连入京广线，连接：武汉）
丹阳,常州,43.0,京沪线（连接：北京、天津、济南、南京、上海）
丹阳,镇江东,24.5,京沪线（连接：北京、天津、济南、南京、上海）
丽水,金华南,77.7,金温铁路（金华—温州）
丽水,青田,46.6,金温铁路（金华—温州）
乌鲁木齐,西宁,1441.3,陇海—兰新线（连接：郑州、西安、兰州、西宁、乌鲁木齐）
九江,南昌,115.3,京九线（连接：北京、南昌）
九江,武昌,186.4,武九铁路（连入京广线，连接：武汉）
九江,池州,177.6,铜九铁路
九江,麻城,188.1,京九线（连接：北京、南昌）
九江,黄梅,40.4,合九铁路（连入京九线，连接：合肥）
井陉,石家庄北,27.4,石太铁路（连入京广线，连接：石家庄、太原）
井陉,阳泉,53.4,石太铁路（连入京广线，连接：石家庄、太原）
任丘,衡水,110.8,京九线（连接：北京、南昌）
任丘,黄村,118.6,京九线（连接：北京、南昌）
伊图里河,牙克石,145.3,牙林铁路（连入滨洲线，连接：哈尔滨【通过滨洲线
佳木斯,勃利,118.9,图佳铁路（连入滨绥线，连接：哈尔滨【通过滨绥线
保定,北京西,135.4,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
保定,石家庄,123.9,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
信阳,六安,234.1,宁西铁路（连入京沪线、陇海线，连接：南京、西安）
信阳,汉口,173.3,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
信阳,西安,536.6,宁西铁路（连入京沪线、陇海线，连接：南京、西安）
信阳,驻马店,98.0,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）
六安,南京,218.9,宁西铁路（连入京沪线、陇海线，连接：南京、西安）
六盘水,安顺,117.8,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
六盘水,宜宾南,238.7,内六铁路（连入沪昆线、成渝线，连接：重庆、贵阳）
六盘水,曲靖,159.8,沪昆线（连接：上海、杭州、南昌、长沙、贵阳、昆明）
兰州,咸阳,483.3,陇海—兰新线（连接：郑州、西安、兰州、西宁、乌鲁木齐）
兰州,西宁,193.9,兰青铁路（连入陇海—兰新线，连接：兰州、西宁）|陇海—兰新线（连接：郑州、西安、兰州、西宁、乌鲁木齐）
兰州,银川,343.6,京包—包兰线（连接：北京、呼和浩特、兰州、银川）
关林,宝丰,101.8,焦柳线（连接：太原【通过太焦线
关林,焦作,96.1,焦柳线（连接：太原【通过太焦线
内江,成都,154.1,成渝铁路（连入宝成线、成昆线，连接：成都、重庆）
内江,自贡北,38.0,内六铁路（连入沪昆线、成渝线，连接：重庆、贵阳）
内江,重庆北,144.1,成渝铁路（连入宝成线、成昆线，连接：成都、重庆）
前亭,徐州,4.4,京沪线（连接：北京、天津、济南、南京、上海）
前亭,枣庄西,57.1,京沪线（连接：北京、天津、济南、南京、上海）
加格达奇,嫩江,158.9,富西铁路（连入滨洲线，连接：哈尔滨【通过滨洲线
加格达奇,漠河,304.8,富西铁路（连入滨洲线，连接：哈尔滨【通过滨洲线
勃利,牡丹江,149.5,图佳铁路（连入滨绥线，连接：哈尔滨【通过滨绥线
包头,呼和浩特,162.1,京包—包兰线（连接：北京、呼和浩特、兰州、银川）
包头,银川,392.3,京包—包兰线（连接：北京、呼和浩特、兰州、银川）
北京,北京东,6.9,京包—包兰线（连接：北京、呼和浩特、兰州、银川）|京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）|北京-北京东换乘
北京,北京丰台,10.2,北京-北京丰台换乘
北京,北京南,3.7,京沪线（连接：北京、天津、济南、南京、上海）
北京,北京西,6.9,北京-北京西换乘
北京东,北京丰台,16.0,北京丰台-北京东换乘
北京东,北京西,13.7,北京西-北京东换乘
北京东,双桥,10.0,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
北京东,星火,8.0,京包—包兰线（连接：北京、呼和浩特、兰州、银川）
北京丰台,北京南,7.2,京沪线（连接：北京、天津、济南、南京、上海）
北京丰台,北京西,4.8,京广线（连接：北京、石家庄、郑州、武汉、长沙、广州）|北京西-北京丰台换乘
北京丰台,黄村,13.6,京沪线（连接：北京、天津、济南、南京、上海）
北京西,广安门,2.8,京九线（连接：北京、南昌）
北戴河,昌黎,31.2,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
北戴河,秦皇岛,15.4,京哈线（连入京沪线、沈山线、滨洲线、滨绥线、长图线，连接：北京、哈尔滨）
十堰,安康,165.8,襄渝铁路（连入焦柳线、西康线，连接：重庆）
十堰,襄阳,141.9,襄渝铁路（连入焦柳线、西康线，连接：重庆）
南京,徐州,282.6,京沪线（连接：北京、天津、济南、南京、上海）
南京,镇江,62.0,京沪线（连接：北京、天津、济南、南京、上海）
南京,马鞍山,47.3,宁芜铁路|宁铜铁路
南仓,天津西,7.9,京沪线（连接：北京、天津、济南、南京、上海）|天津西-南仓换乘
南仓,广阳,78.5,京沪线（连接：北京、天津、济南、南京、上海）
南仓,静海,38.5,南仓-静海换乘
南口,大同,241.0,京包—包兰线（连接：北京、呼和浩特、兰州、银川）
南口,星火,44.3,京包—包兰线（连接：北京、呼和浩特、兰州、银川）
南宁,威舍,474.9,南昆铁路（连入沪昆线、湘桂线，连接：昆明、南宁）
南宁,昆明,603.4,南昆铁路（连入沪昆线、湘桂线，连接：昆明、南宁）
南宁,柳州,201.9,湘桂铁路（连入京广线、焦柳线，连接：长沙、南宁）
南宁,黎塘,91.2,南黎联络线（连入湘桂线、黎湛线，连接：南宁、湛江）
南昌,吉安,194.4,京九线（连接：北京、南昌）
南昌,向塘,32.4,南昌-向塘换乘
南昌,鹰潭,126.8,浙赣铁路
