站名,12306站名,电报码,类型
一面坡,一面坡,YPB,客
万州,万州,WYW,客
三亚,三亚,SEQ,客
上海,上海,SHH,客
上饶,上饶,SRG,客
东莞东,东莞东,DMQ,客
东营,东营,DPK,客
临沂,临沂,LVK,客
丹东,丹东,DUT,客
丹江,,,货/技/失联
丹阳,丹阳,DYH,客
丽水,丽水,USH,客
乌鲁木齐,乌鲁木齐,WAR,客
九江,九江,JJG,客
井陉,井陉,JJP,客
任丘,任丘,RQP,客
伊图里河,伊图里河,YEX,客
佳木斯,佳木斯,JMB,客
保定,保定,BDP,客
信阳,信阳,XUN,客
六安,六安,UAH,客
六盘水,六盘水,UMW,客
兰州,兰州,LZJ,客
关林,关林,GLF,客
内江,内江,NJW,客
前亭,,,货/技/失联
加格达奇,加格达奇,JGX,客
勃利,勃利,BLB,客
包头,包头,BTC,客
北京,北京,BJP,客
北京东,北京东,BOP,客
北京丰台,北京丰台,FTP,客
北京南,北京南,VNP,客
北京西,北京西,BXP,客
北戴河,北戴河,BEP,客
北海,北海,BHZ,客
十堰,十堰,SNN,客
南京,南京,NJH,客
南仓,,,货/技/失联
南口,南口,NKP,客
南宁,南宁,NNZ,客
南昌,南昌,NCG,客
南通,南通,NUH,客
南阳,南阳,NFF,客
卧里屯,,,货/技/失联
厦门,厦门,XMS,客
厦门高崎,厦门高崎,XBS,客
双桥,,,货/技/失联
双辽,双辽,ZJD,客
台北,,,规划中
合肥,合肥,HFH,客
合肥西,合肥西,HFU,客
吉安,吉安,VAG,客
吉林,吉林,JLL,客
向塘,向塘,XTG,客
呼和浩特,呼和浩特,HHC,客
咸阳,咸阳,XYY,客
哈尔滨,哈尔滨,HBB,客
唐山北,唐山北,FUP,客
商丘,商丘,SQF,客
嘉兴,嘉兴,JXH,客
四平,四平,SPT,客
图们,图们,TML,客
大同,大同,DTV,客
大安北,大安北,RNT,客
大庆西,大庆西,RHX,客
大虎山,大虎山,DHD,客
大连,大连,DLT,客
天津,天津,TJP,客
天津西,天津西,TXP,客
太原,太原,TYV,客
太平川,太平川,TIT,客
太湖,太湖,TKH,客
威舍,威舍,WSM,客
娄底,娄底,LDQ,客
嫩江,嫩江,NGX,客
宁德,宁德,NES,客
宁波,宁波,NGH,客
安庆,安庆,AQH,客
安康,安康,AKY,客
安达,安达,ADX,客
安阳,安阳,AYF,客
安顺,安顺,ASW,客
宜宾南,宜宾,YKE,客
宜昌,宜昌,YCN,客
宜春,宜春,YEG,客
宝丰,宝丰,BFF,客
宝鸡,宝鸡,BJY,客
宣城,宣城,ECH,客
宿松,宿松,OAH,客
富裕,富裕,FYX,客
寿阳,寿阳,SYV,客
山海关,山海关,SHD,客
岳阳,岳阳,YYQ,客
常州,常州,CZH,客
常平,常平,DAQ,客
常德,常德,VGQ,客
平阳,平阳,ARH,客
广元,广元,GYW,客
广安门,,,货/技/失联
广州,广州,GZQ,客
广州东,广州东,GGQ,客
广阳,广阳,LFP,客
延安,延安,YWY,客
张家口,张家口,ZMP,客
张家界,张家界,DIQ,客
徐州,徐州,XCH,客
德州,德州,DZP,客
怀化,怀化,HHQ,客
怀宁,怀宁,APH,客
惠州,惠州,HCQ,客
成都,成都,CDW,客
扎兰屯,扎兰屯,ZTX,客
扎赉诺尔西,扎赉诺尔西,ZXX,客
扬州,扬州,YLH,客
拉萨,拉萨,LSO,客
攀枝花,攀枝花,PRW,客
新乡,新乡,XXF,客
新余,新余,XUG,客
新肇,新肇,XZT,客
新香坊,,,货/技/失联
无锡,无锡,WXH,客
昆明,昆明,KMM,客
昌黎,昌黎,CLP,客
星火,,,货/技/失联
晋城,晋城,JCF,客
景德镇,景德镇,JCG,客
曲靖,曲靖,QJM,客
月山,月山,YBF,客
杜尔伯特,杜尔伯特,TKX,客
来舟,来舟,LZS,客
杭州,杭州,HZH,客
杭州东,杭州东,HGH,客
杭州北,,,货/技/失联
枣庄西,枣庄西,ZFK,客
柳州,柳州,LZZ,客
株洲,株洲,ZZQ,客
格尔木,格尔木,GRO,客
桂林,桂林,GLZ,客
桐城,桐城,TTH,客
榆次,榆次,YCV,客
武昌,武昌,WCN,客
武汉,武汉,WHN,客
永州,永州,AOQ,客
汉口,汉口,HKN,客
江村,,,货/技/失联
池州,池州,IYH,客
沈阳,沈阳,SYT,客
沈阳北,沈阳北,SBT,客
沙河市,沙河市,VOP,客
沧州,沧州,COP,客
泊头,泊头,BZP,客
泰山,泰山,TAK,客
洛阳,洛阳,LYF,客
济南,济南,JNK,客
济南南,大明湖,JAK,客
海口,海口,VUQ,客
海拉尔,海拉尔,HRX,客
淄博,淄博,ZBK,客
淮安,淮安,AUH,客
深圳,深圳,SZQ,客
温州南,温州南,VRH,客
湖州,湖州,VZH,客
湘潭,湘潭,XTQ,客
湛江,湛江,ZJZ,客
滕州,滕州,TXK,客
满洲里,满洲里,MLX,客
漠河,漠河,MVX,客
漯河,漯河,LON,客
漳平,漳平,ZPS,客
潍坊,潍坊,WFK,客
潢川,潢川,KCN,客
澳门,,,规划中
焦作,焦作,JOF,客
燕岗,燕岗,YGW,客
牙克石,牙克石,YKX,客
牡丹江,牡丹江,MDB,客
玉林,玉林,YLZ,客
玉泉,玉泉,YQB,客
珠海,珠海,ZHQ,客
瑞安,瑞安,RAH,客
白城,白城,BCT,客
益阳,益阳,AEQ,客
盐城,盐城,AFH,客
盘锦,盘锦,PVD,客
石家庄,石家庄,SJP,客
石家庄北,石家庄北,VVP,客
福州,福州,FZS,客
秦皇岛,秦皇岛,QTP,客
绥芬河,绥芬河,SFB,客
绩溪县,绩溪县,JRH,客
绵阳,绵阳,MYW,客
聊城,聊城,UCK,客
肇东,肇东,ZDB,客
自贡北,自贡北,ZGW,客
舒城,舒城,OCH,客
芜湖,芜湖,WHH,客
芜湖南,芜湖南,RVH,客
苍南,苍南,CEH,客
苏州,苏州,SZH,客
荆门,荆门,JMN,客
菏泽,菏泽,HIK,客
萍乡,萍乡,PXG,客
葫芦岛,葫芦岛,HLD,客
蓟州,蓟州,JIP,客
蚌埠,蚌埠,BBH,客
衡水,衡水,HSP,客
衡阳,衡阳,HYQ,客
衢州,衢州,QEH,客
襄阳,襄阳,XFN,客
西宁,西宁,XNO,客
西安,西安,XAY,客
西安东,西安东,XDY,客
西昌,西昌,ECW,客
