站名,经度,纬度,等级
一面坡,128.1000,45.1500,二等站
上海,121.4700,31.2300,特等站
上饶,117.9700,28.4500,一等站
东莞东,113.7500,23.0200,二等站
丹江,111.5100,32.5400,一等站
丹阳,119.5800,32.0100,二等站
丽水,119.9604,28.4477,二等站
乌鲁木齐,87.6200,43.8200,特等站
九江,116.0000,29.7100,一等站
井陉,114.1500,38.0300,二等站
任丘,116.0900,38.6800,二等站
伊图里河,121.3700,50.5300,二等站
佳木斯,130.3700,46.8100,特等站
保定,115.4600,38.8700,一等站
信阳,114.0700,32.1300,一等站
六安,116.5100,31.7500,二等站
六盘水,104.8300,26.5900,一等站
兰州,103.8300,36.0600,特等站
关林,112.4700,34.6300,二等站
内江,105.0600,29.5800,一等站
前亭,117.2800,34.3000,二等站
加格达奇,124.1200,50.4200,一等站
勃利,130.5700,45.7500,二等站
包头,109.8400,40.6600,一等站
北京,116.4000,39.9000,特等站
北京东,116.4800,39.8900,一等站
北京丰台,116.3000,39.8500,特等站
北京南,116.3800,39.8700,特等站
北京西,116.3200,39.8900,特等站
北戴河,119.4900,39.8300,二等站
十堰,110.8000,32.6300,一等站
南京,118.8000,32.0600,一等站
南仓,117.2100,39.2200,特等站
南口,116.1300,40.2400,二等站
南宁,108.3200,22.8200,一等站
南昌,115.8600,28.6800,一等站
南阳,112.5300,32.9800,一等站
卧里屯,125.2000,46.4200,二等站
厦门,118.0900,24.4800,一等站
厦门高崎,118.1200,24.5600,二等站
双桥,116.5900,39.8600,二等站
双辽,123.5000,43.5200,二等站
合肥,117.2300,31.8200,一等站
合肥西,117.2000,31.8400,二等站
吉安,114.9900,27.1100,二等站
吉林,126.5500,43.8400,一等站
向塘,116.0100,28.4200,一等站
呼和浩特,111.7500,40.8400,特等站
咸阳,108.7100,34.3300,二等站
哈尔滨,126.5300,45.8000,特等站
唐山北,118.1400,39.6500,二等站
商丘,115.6600,34.4100,一等站
嘉兴,120.7600,30.7500,二等站
四平,124.3500,43.1700,一等站
图们,129.8500,42.9700,二等站
大同,113.3000,40.0900,特等站
大安北,124.3000,45.5200,二等站
大庆西,124.8700,46.6200,一等站
大虎山,122.0600,41.6200,二等站
天津西,117.1600,39.1600,特等站
太原,112.5500,37.8700,特等站
太平川,123.1800,44.3500,二等站
太湖,116.3100,30.4500,二等站
威舍,104.8400,25.6800,二等站
娄底,112.0000,27.7000,一等站
嫩江,125.2200,49.1800,二等站
宁德,119.5904,26.6745,二等站
安康,109.0300,32.6900,二等站
安达,125.3400,46.4100,二等站
安阳,114.3500,36.1000,一等站
安顺,105.9500,26.2500,二等站
宜宾南,104.6400,28.7300,二等站
宜春,114.3900,27.8000,一等站
宝丰,113.0500,33.8500,一等站
宝鸡,107.1400,34.3600,一等站
宣城,118.7813,30.9533,二等站
宿松,116.1300,30.1600,二等站
富裕,124.4700,47.8000,二等站
寿阳,113.1400,37.9000,二等站
山海关,119.7800,39.9800,特等站
岳阳,113.1300,29.3700,一等站
常州,119.9700,31.8100,特等站
常平,114.1000,22.9700,二等站
常德,111.7000,29.0300,一等站
平阳,120.5516,27.6309,二等站
广元,105.8500,32.4400,一等站
广安门,116.3500,39.8800,一等站
广州,113.2700,23.1300,特等站
广州东,113.3200,23.1500,一等站
广阳,116.4100,39.5600,二等站
徐州,117.2800,34.2600,一等站
德州,116.3100,37.4500,一等站
怀化,110.0000,27.5500,一等站
怀宁,116.8300,30.7300,二等站
惠州,114.4200,23.1100,二等站
成都,104.0700,30.6700,特等站
扎兰屯,122.7400,48.0000,二等站
扎赉诺尔西,117.5700,49.5000,二等站
拉萨,91.1400,29.6500,一等站
攀枝花,101.7200,26.5800,一等站
新乡,113.9000,35.3000,一等站
新余,114.9100,27.8100,一等站
新肇,124.8500,45.5500,二等站
新香坊,126.7600,45.7200,二等站
无锡,120.3100,31.4900,特等站
昆明,102.8300,24.8800,特等站
昌黎,119.1600,39.7100,二等站
星火,116.5000,39.9600,二等站
晋城,112.8500,35.4900,二等站
景德镇,117.2289,29.2918,二等站
曲靖,103.8000,25.4900,一等站
月山,113.0200,35.2300,一等站
杜尔伯特,124.4500,46.8600,二等站
来舟,118.0200,26.6200,二等站
杭州,120.1893,30.2492,一等站
杭州东,120.2100,30.2900,特等站
杭州北,120.1197,30.3234,一等站
枣庄西,117.2100,34.8100,二等站
柳州,109.4200,24.3300,一等站
株洲,113.1300,27.8300,特等站
格尔木,94.9000,36.4000,二等站
桂林,110.2900,25.2700,一等站
桐城,116.9700,31.0600,二等站
榆次,112.7100,37.7000,一等站
武昌,114.3100,30.5300,一等站
武汉,114.3000,30.5900,特等站
汉口,114.2600,30.5800,特等站
江村,113.2000,23.3500,特等站
池州,117.5171,30.6214,二等站
沈阳,123.4300,41.8100,特等站
沈阳北,123.4300,41.8300,特等站
沙河市,114.5000,36.8600,二等站
沧州,116.8400,38.3000,一等站
泊头,116.5800,38.0800,二等站
泰山,117.0900,36.2000,一等站
洛阳,112.4500,34.6200,一等站
济南,117.0000,36.6700,特等站
济南南,116.9900,36.6500,特等站
淄博,118.0500,36.8100,一等站
